                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.33559,                0.26976,                0.26212,                0.90331,                0.99269,                 0.9884,                0.99424,                0.92856,                0.99634,                0.99087,                 0.9949,                0.81189,                0.39687,                0.13246,                0.23863,                 1.0363,               0.008812,               0.008812,               0.008812
                     26,                0.33117,                0.26615,                0.25759,                0.89985,                0.99348,                0.98869,                0.99409,                0.92952,                0.99479,                0.98999,                0.99479,                0.82207,                0.39237,                0.13177,                0.24848,                 1.0241,              0.0087625,              0.0087625,              0.0087625
                     27,                0.33231,                0.26869,                0.25694,                 0.8998,                0.99244,                0.98882,                0.99413,                0.93168,                0.99478,                0.99058,                0.99491,                0.82836,                0.39371,                0.12895,                0.23697,                 1.0103,               0.008713,               0.008713,               0.008713
                     28,                0.32292,                0.26201,                0.25329,                0.89444,                0.99322,                0.99006,                0.99416,                 0.9346,                0.99564,                0.99116,                 0.9948,                0.82355,                0.38504,                0.12841,                0.24117,                 1.0221,              0.0086635,              0.0086635,              0.0086635
                     29,                0.32186,                0.25696,                0.25036,                0.89565,                0.99192,                0.99064,                0.99425,                0.93303,                0.99586,                0.98934,                 0.9949,                0.82523,                0.39369,                0.12996,                0.23704,                  1.029,               0.008614,               0.008614,               0.008614
                     30,                0.31654,                0.25211,                0.24705,                0.89245,                0.99394,                0.98908,                0.99419,                0.93487,                 0.9966,                 0.9916,                0.99486,                0.83778,                0.38698,                 0.1213,                 0.2334,                 1.0225,              0.0085645,              0.0085645,              0.0085645
                     31,                0.30996,                0.25135,                0.24256,                0.88791,                0.99377,                0.98427,                0.99402,                0.93288,                0.99482,                0.98531,                0.99475,                0.83781,                0.38617,                0.12228,                 0.2328,                 1.0245,               0.008515,               0.008515,               0.008515
                     32,                0.31027,                0.24905,                0.24191,                0.89023,                0.99385,                0.98895,                0.99419,                0.93428,                0.99581,                0.99011,                0.99475,                0.82689,                0.37834,                0.12643,                0.22848,                 1.0285,              0.0084655,              0.0084655,              0.0084655
                     33,                0.31051,                0.25027,                0.24111,                0.88863,                0.99376,                0.99051,                0.99421,                0.93536,                 0.9957,                 0.9922,                0.99493,                0.83723,                0.37232,                0.12008,                0.22415,                 1.0235,               0.008416,               0.008416,               0.008416
                     34,                0.30978,                0.24967,                0.24098,                0.88915,                0.99426,                0.99061,                0.99404,                0.92892,                0.99569,                0.99204,                0.99493,                0.83524,                0.37637,                0.12054,                0.22478,                 1.0455,              0.0083665,              0.0083665,              0.0083665
                     35,                0.30488,                0.24762,                0.23671,                0.88644,                0.99346,                0.99116,                0.99414,                 0.9354,                0.99517,                0.99035,                0.99487,                0.84059,                0.37059,                0.11946,                0.23002,                 1.0169,               0.008317,               0.008317,               0.008317
                     36,                0.30609,                0.24597,                0.23763,                 0.8888,                0.99339,                0.99194,                0.99427,                0.93419,                0.99556,                0.99402,                0.99496,                0.84137,                0.36858,                0.11912,                0.22426,                 1.0216,              0.0082675,              0.0082675,              0.0082675
                     37,                0.30163,                0.24468,                0.23404,                0.88366,                0.99294,                0.98697,                0.99403,                0.93064,                0.99444,                0.98726,                0.99485,                0.83143,                0.36865,                0.12116,                0.22419,                 1.0286,               0.008218,               0.008218,               0.008218
                     38,                0.29664,                0.23651,                0.23035,                0.88003,                0.99439,                0.99136,                0.99442,                0.93937,                0.99596,                0.99313,                0.99494,                0.84545,                0.36507,                0.11638,                0.22245,                 1.0264,              0.0081685,              0.0081685,              0.0081685
                     39,                 0.2951,                0.24112,                0.22874,                0.88303,                0.99477,                0.98966,                0.99395,                0.93797,                0.99618,                0.99077,                0.99493,                0.84293,                0.36748,                0.11938,                0.22467,                 1.0481,               0.008119,               0.008119,               0.008119
                     40,                0.29345,                0.24028,                0.23137,                0.88021,                0.99309,                0.99083,                0.99415,                0.93702,                 0.9944,                0.99213,                0.99493,                0.84271,                 0.3628,                0.11732,                0.21915,                 1.0307,              0.0080695,              0.0080695,              0.0080695
                     41,                0.29102,                0.23612,                0.22651,                0.88153,                0.99413,                0.98869,                 0.9941,                0.93684,                0.99608,                0.99066,                0.99485,                0.84535,                0.36469,                0.11462,                0.21949,                 1.0247,                0.00802,                0.00802,                0.00802
                     42,                0.28622,                0.22906,                0.22357,                0.87627,                0.99478,                0.99089,                 0.9941,                0.93347,                0.99686,                0.99239,                0.99494,                 0.8367,                0.36083,                0.11306,                0.21638,                 1.0272,              0.0079705,              0.0079705,              0.0079705
                     43,                0.28515,                0.23311,                0.22141,                0.87527,                0.99167,                 0.9905,                0.99429,                0.93531,                0.99375,                 0.9923,                 0.9949,                0.84824,                0.35208,                0.11272,                0.21644,                 1.0367,               0.007921,               0.007921,               0.007921
                     44,                0.28208,                0.22878,                0.22237,                0.87427,                0.99372,                0.98749,                0.99431,                0.94259,                0.99594,                0.98965,                0.99494,                 0.8582,                0.35472,                0.11298,                0.21262,                 1.0109,              0.0078715,              0.0078715,              0.0078715
