                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.39105,                 0.3104,                0.30861,                 0.9447,                0.98527,                0.98309,                0.99405,                0.90006,                 0.9867,                0.98453,                0.99433,                 0.7651,                0.55521,                0.15202,                0.30424,                0.97161,              0.0015248,              0.0015248,              0.0015248
                     26,                0.38661,                0.30843,                 0.3051,                0.94363,                0.99136,                 0.9827,                0.99407,                0.89237,                0.99294,                0.98427,                0.99433,                0.76121,                0.57211,                 0.1503,                0.31047,                 0.9877,               0.001505,               0.001505,               0.001505
                     27,                0.38472,                0.31081,                0.30339,                0.94112,                0.99055,                0.98309,                0.99401,                0.88534,                0.99306,                0.98572,                0.99404,                 0.7569,                0.57591,                0.15213,                0.30528,                 1.0283,              0.0014852,              0.0014852,              0.0014852
                     28,                0.38105,                0.30704,                 0.2997,                0.93765,                0.98578,                0.98687,                0.99432,                0.89793,                0.98789,                0.98882,                0.99465,                0.77458,                0.54784,                0.14389,                0.30121,                0.98279,              0.0014654,              0.0014654,              0.0014654
                     29,                0.37442,                0.29811,                0.29538,                0.93425,                0.99062,                0.98583,                0.99438,                0.90271,                0.99167,                0.98908,                0.99473,                0.77585,                0.54022,                0.14524,                0.29231,                0.98328,              0.0014456,              0.0014456,              0.0014456
                     30,                0.36893,                0.29564,                0.29195,                0.93393,                0.99462,                0.98507,                0.99455,                0.90584,                 0.9959,                0.98674,                0.99475,                0.78246,                 0.5387,                0.14316,                0.29004,                0.97775,              0.0014258,              0.0014258,              0.0014258
                     31,                0.36428,                0.29318,                0.28809,                0.92833,                0.99318,                0.98544,                 0.9945,                0.89394,                0.99253,                0.98947,                0.99475,                0.78519,                0.54338,                0.13798,                0.29381,                 0.9871,               0.001406,               0.001406,               0.001406
                     32,                0.36344,                  0.295,                0.28789,                0.92789,                0.99369,                0.98327,                0.99429,                0.89978,                0.99645,                0.98563,                0.99475,                0.78527,                0.54034,                0.13649,                0.29682,                 0.9943,              0.0013862,              0.0013862,              0.0013862
                     33,                0.36137,                0.29181,                 0.2855,                0.92489,                0.99292,                0.98544,                0.99434,                0.89683,                0.99446,                0.98739,                0.99464,                0.77934,                0.54491,                0.14149,                0.29143,                 1.0038,              0.0013664,              0.0013664,              0.0013664
                     34,                  0.365,                0.29016,                0.28735,                0.93003,                0.98851,                0.98518,                0.99438,                 0.9028,                0.98894,                0.98856,                0.99451,                0.78537,                0.53416,                0.13712,                0.29001,                0.96515,              0.0013466,              0.0013466,              0.0013466
                     35,                0.36005,                0.29055,                0.28291,                0.92458,                0.98983,                0.98689,                0.99423,                0.90734,                0.99225,                0.98973,                0.99479,                0.79531,                 0.5266,                0.13359,                0.28325,                0.98645,              0.0013268,              0.0013268,              0.0013268
                     36,                0.35776,                0.28766,                0.28111,                0.92543,                 0.9919,                0.98741,                0.99435,                0.90462,                0.99451,                0.99001,                0.99483,                0.78556,                0.53669,                0.13566,                0.28241,                0.97984,               0.001307,               0.001307,               0.001307
                     37,                0.35477,                0.28412,                0.27856,                0.91939,                0.99144,                0.98674,                0.99447,                0.90448,                0.99451,                0.98979,                0.99443,                0.79411,                  0.527,                0.13176,                0.28181,                 0.9793,              0.0012872,              0.0012872,              0.0012872
                     38,                0.34704,                0.28107,                0.27283,                0.91695,                0.98702,                0.98883,                0.99431,                0.89852,                 0.9891,                0.99101,                0.99465,                0.78512,                 0.5265,                0.13449,                0.28627,                0.98607,              0.0012674,              0.0012674,              0.0012674
                     39,                0.34278,                0.27896,                0.26939,                0.91774,                0.99324,                0.98362,                0.99451,                0.91057,                0.99116,                0.99158,                0.99483,                0.79841,                0.52141,                0.13062,                0.27673,                0.95882,              0.0012476,              0.0012476,              0.0012476
                     40,                0.34359,                0.27905,                0.27216,                0.91501,                 0.9913,                0.98882,                0.99408,                 0.9015,                 0.9931,                0.99064,                0.99482,                 0.7964,                0.52548,                 0.1295,                0.28503,                0.99743,              0.0012278,              0.0012278,              0.0012278
                     41,                0.33974,                 0.2767,                0.26754,                0.91291,                0.99269,                0.98929,                0.99425,                0.89993,                0.99504,                0.99164,                0.99487,                0.80149,                0.52178,                0.12818,                0.27759,                0.99489,               0.001208,               0.001208,               0.001208
                     42,                0.33593,                0.26769,                0.26504,                0.90946,                0.99281,                0.98725,                0.99435,                0.90564,                0.99469,                0.99038,                 0.9949,                0.80539,                0.51734,                0.12747,                0.27093,                 0.9913,              0.0011882,              0.0011882,              0.0011882
                     43,                 0.3332,                0.27137,                0.26284,                0.90793,                0.98986,                0.98973,                 0.9943,                0.90576,                0.99245,                0.99164,                 0.9948,                0.80476,                0.51365,                0.12723,                0.26971,                0.99754,              0.0011684,              0.0011684,              0.0011684
                     44,                0.33139,                0.26932,                0.26184,                0.90981,                0.99334,                0.98842,                0.99429,                0.89929,                0.99556,                0.99085,                0.99484,                 0.8056,                0.52087,                0.12485,                0.27625,                 1.0191,              0.0011486,              0.0011486,              0.0011486
                     45,                0.33188,                0.27364,                 0.2614,                0.90983,                0.99485,                0.98687,                0.99433,                0.90354,                0.99401,                0.99245,                0.99478,                0.80555,                0.51822,                0.12448,                0.27522,                0.99776,              0.0011288,              0.0011288,              0.0011288
